fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.22002165878274987,0.9204368604442975,0.20541179397188697,0.9267446184357311
2,1,0.2143406512515336,0.9223236788827831,0.20907839363209524,0.924430855679048
3,1,0.213276648929328,0.9225715820352849,0.20820451117456673,0.9245961244473826
4,1,0.2105739028085506,0.9238937321819609,0.21292365313596076,0.9214973350411106
1,2,0.21347755078928146,0.9221446377170874,0.20107064679863515,0.9274056935090691
2,2,0.21103713241142316,0.923039843545566,0.2057969757585313,0.9249679791761352
3,2,0.2100560831024012,0.9232188847112617,0.20670213422895936,0.9248027104078007
4,2,0.2078001006919924,0.9244170832816868,0.21198121389567828,0.9217452381936123
1,3,0.21100369655573234,0.922447630459034,0.19913175485378476,0.9277362310457381
2,3,0.2091158506264742,0.9233979258769573,0.2050616522964205,0.9254637854811387
3,3,0.20859842190644445,0.923508105055847,0.20445764427985064,0.9249679791761352
4,3,0.20598857628162875,0.9248440275998843,0.21020894250832636,0.9220757757302813
1,4,0.2102803836842881,0.9226542164194521,0.19833392855468637,0.927860182621989
2,4,0.20777033690629088,0.9237560082083488,0.20469662276465467,0.9248440275998843
3,4,0.2079362297412241,0.9237973254004325,0.20396309701546508,0.9249679791761352
4,4,0.2058247647009032,0.9249128895866904,0.2100059763647617,0.9222410444986159
1,5,0.20935236008708502,0.9228608023798702,0.19859683122072153,0.9279428170061562
2,5,0.20676605784258809,0.9237835530030712,0.20389706231717872,0.9255877370573896
3,5,0.20707591091915514,0.9241967249239075,0.2035198955250502,0.9252158823286369
4,5,0.20512082247788807,0.92502306876558,0.20953490532468266,0.9219931413461141
