fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.02029760791443146,0.9921527777777778,0.012380959432867655,0.9965625
2,1,0.017414529982957498,0.9928472222222222,0.010310636864546722,0.9973958333333334
3,1,0.014949923619715264,0.9943055555555556,0.010105497041811492,0.9969791666666666
4,1,0.015071950061101234,0.9942361111111111,0.008149595567053133,0.9983333333333333
1,2,0.01403338214709139,0.9948263888888889,0.008843158065015328,0.9982291666666666
2,2,0.012567506635140389,0.9950694444444445,0.008228759122902692,0.9976041666666666
3,2,0.011789869137832688,0.9954861111111111,0.008319636011642283,0.9986458333333333
4,2,0.011336494105954545,0.9955208333333333,0.0056767046593105405,0.9988541666666667
1,3,0.01193094282051081,0.9953125,0.0076503611913782636,0.9986458333333333
2,3,0.011064238096854145,0.9957291666666667,0.00690560125582221,0.9982291666666666
3,3,0.010669040983986836,0.9956597222222222,0.007258480557943082,0.99875
4,3,0.010855436489562434,0.9955555555555555,0.005038799628957247,0.99875
1,4,0.010242089292801211,0.9965625,0.005878958660374991,0.9989583333333333
2,4,0.010126587499396718,0.9958333333333333,0.005970147806013006,0.9984375
3,4,0.009462886328318392,0.9966319444444445,0.006834289848339211,0.9986458333333333
4,4,0.009887904504280414,0.9962847222222222,0.004557073903748984,0.9985416666666667
1,5,0.009216202241619209,0.9964583333333333,0.0059772768452372275,0.9989583333333333
2,5,0.00947432284681175,0.9964583333333333,0.005712707989910111,0.9989583333333333
3,5,0.008802396779036978,0.9968055555555555,0.0062718479810719326,0.9988541666666667
4,5,0.008683501148066677,0.9967708333333334,0.005150966005894763,0.9995833333333334
