fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.022775995111078372,0.9907986111111111,0.014284115533519071,0.9982291666666666
2,1,0.019391371337260353,0.9920833333333333,0.010825903160027035,0.9978125
3,1,0.017248158783380253,0.9932986111111111,0.011570773421408376,0.9985416666666667
4,1,0.017021089902361078,0.9932638888888888,0.008593357160710488,0.9978125
1,2,0.015151293131109722,0.9939583333333334,0.009362306549008584,0.9989583333333333
2,2,0.014335061102505682,0.9942361111111111,0.008932663279463971,0.9982291666666666
3,2,0.013095904199821639,0.9948263888888889,0.008994968548887337,0.9984375
4,2,0.013685056853007862,0.9947222222222222,0.007894147538682622,0.9988541666666667
1,3,0.013333970793808273,0.9947222222222222,0.008305788186208361,0.9991666666666666
2,3,0.012748259934402692,0.9954861111111111,0.008255128455787903,0.9971875
3,3,0.011557833220641543,0.995625,0.007767704831776901,0.99875
4,3,0.012527810320441656,0.9950347222222222,0.006424848337788707,0.999375
1,4,0.01185562135839872,0.9955208333333333,0.008062598962612052,0.9988541666666667
2,4,0.011805066616966037,0.9954166666666666,0.007405164922551914,0.9986458333333333
3,4,0.010558983631906611,0.9959375,0.007373294310750111,0.9980208333333334
4,4,0.010729976927915332,0.9957986111111111,0.005670647827866067,0.9991666666666666
1,5,0.01089965690012731,0.9955555555555555,0.006934585341530047,0.9988541666666667
2,5,0.010853536861579615,0.9958333333333333,0.006486578350174075,0.9990625
3,5,0.009614221358566889,0.9961458333333333,0.006620610215573114,0.9982291666666666
4,5,0.011492297154118205,0.9958680555555556,0.006445222952704058,0.9992708333333333
