fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.3874791459777683,0.8392184228890439,0.371229788791665,0.8447770567301653
2,1,0.3726010611068928,0.8457431960921145,0.3625730995631286,0.8465564161607704
3,1,0.3609487952873174,0.8464114999476641,0.3383819104763035,0.8547053281691616
4,1,0.337775754712202,0.8542618889780538,0.31750047057509195,0.8611954359886946
1,2,0.33008373660884865,0.8550942079553384,0.3163221831279306,0.8595352731840067
2,2,0.32883154127203496,0.856629448709002,0.30945653258030437,0.8556625497173959
3,2,0.32330842109174207,0.8582394194201179,0.30366487779726997,0.8637077357898042
4,2,0.31860897953626494,0.8599490596978473,0.3087036259781523,0.8623469067308699
1,3,0.3193153311552406,0.8603977669225401,0.304384626984786,0.8670713837136278
2,3,0.3161421336706751,0.8630844382414515,0.31134157097822973,0.8622566464308143
3,3,0.3207859451681108,0.8621122780084435,0.2947527794340319,0.8732335392023448
4,3,0.31090658363714574,0.8638219182861728,0.30044142392337586,0.8683136187585052
1,4,0.3111620919860832,0.8651430565247732,0.2959110254590646,0.8707347707766381
2,4,0.308033906504647,0.8664689462665737,0.3054507074984409,0.8651873560812225
3,4,0.31049337702275637,0.8648337462056453,0.29277519650648953,0.8725007850936879
4,4,0.30635540945232714,0.8670667457520672,0.29156418845543136,0.8707212394012352
1,5,0.3040604231953205,0.867271458478716,0.2868246275072574,0.872514130207243
2,5,0.3014158177608722,0.8690858339148639,0.2959068847792652,0.8687460749424325
3,5,0.3041329383631735,0.8683576986148425,0.281677526766497,0.8750130848947975
4,5,0.29927571174496237,0.8691601828268378,0.289793526462294,0.8721867476185492
