fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.3535051763640029,0.8454989532449407,0.33056843248467915,0.8545111994975926
2,1,0.3350538751917624,0.8522679692951849,0.3240004797869276,0.8544065312957924
3,1,0.3295118350704992,0.85311049858693,0.3080848700477297,0.864021773264943
4,1,0.32285808792203186,0.8612749031785353,0.3078930020424538,0.8649638856903591
1,2,0.311733416461146,0.8645150034891835,0.2997919967524125,0.8693740841532343
2,2,0.30655312836794113,0.8680041870202373,0.29926920739372925,0.8705254343730374
3,2,0.3078298097969823,0.86759010502076,0.2837908429827491,0.8806657594472941
4,2,0.2976151659212834,0.8721258853494296,0.2878474350700484,0.8755364806866953
1,3,0.2967940286373809,0.8729588276343335,0.2782816158149922,0.8793175633242621
2,3,0.2904493488470159,0.8749476622470342,0.2852405913456405,0.876805526481055
3,3,0.29443419039330526,0.8732772757405534,0.2720788076883964,0.8837014550403015
4,3,0.28805879957136643,0.8758940720840166,0.2799472455280975,0.8790955720716005
1,4,0.2874598064417616,0.8768667131891138,0.2763115036364579,0.8820389365710697
2,4,0.2842425714775306,0.8778436845778088,0.28078931890105674,0.879631567929663
3,4,0.28503535641495403,0.8770454624751405,0.26545903340420396,0.8858997173662724
4,4,0.2809939477763627,0.8797320400544294,0.27271546822396237,0.8812938343975715
1,5,0.2805966495094978,0.8790997906489881,0.2674455144050688,0.8837136277998744
2,5,0.2800116592491746,0.8790648988136776,0.26731070377417915,0.883190286790873
3,5,0.28013243043197267,0.880918321063466,0.2626667250073171,0.8871558672668272
4,5,0.27714592296905566,0.8819650396008514,0.26502953571894516,0.8856903590495132
